level,iteration,eval_metric,paramkey,cv_score,best_nrounds
01,0051,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=7---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=1---nthread=4,0.1534642,148
01,0052,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=3---subsample=0.6---colsample_bytree=0.5---lambda=0---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6078318,135
01,0053,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=1---nthread=4,0.628052,207
01,0054,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=0---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5408072,2000
01,0055,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.5---lambda=1---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=10---nthread=4,0.6323698,1850
01,0056,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=20---nthread=4,0.541958,2000
01,0057,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.6---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.351305,275
01,0058,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.4---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1550182,80
01,0059,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=7---subsample=0.6---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=10---nthread=4,0.5862426,698
01,0060,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.6---colsample_bytree=0.7---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3134014,2000
01,0061,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=5---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.4799474,2000
01,0062,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=5---subsample=0.9---colsample_bytree=0.9---lambda=0---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3100824,2000
01,0063,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.6050654,71
01,0064,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=5---subsample=0.6---colsample_bytree=0.5---lambda=0---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5854808,47
01,0065,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=7---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=10---nthread=4,0.615931,68
01,0066,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.6---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=10---nthread=4,0.6241274,1333
01,0067,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=1---nthread=4,0.5902022,426
01,0068,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=5---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5376256,2000
01,0069,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.1550486,74
01,0070,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.4---colsample_bytree=0.9---lambda=0---alpha=1---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5944048,115
01,0071,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3469704,472
01,0072,auc,objective=binary:logistic---eval_metric=auc---eta=0.1---max_depth=7---subsample=0.6---colsample_bytree=0.9---lambda=0---alpha=1---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.6249202,67
